state_code,year,race,origin,sex,age_group,lfpr,source
AL,2023,black,non-hisp,f,10-14,0.0,synthetic_seed
AL,2023,black,non-hisp,m,15-19,0.3616,synthetic_seed
AL,2023,black,non-hisp,f,15-19,0.3124,synthetic_seed
AL,2023,black,non-hisp,m,20-24,0.7442,synthetic_seed
AL,2023,black,non-hisp,f,20-24,0.7157,synthetic_seed
AL,2023,black,non-hisp,m,25-29,0.8792,synthetic_seed
AL,2023,black,non-hisp,f,25-29,0.7324,synthetic_seed
AL,2023,black,non-hisp,m,30-34,0.8696,synthetic_seed
AL,2023,black,non-hisp,f,30-34,0.7195,synthetic_seed
AL,2023,black,non-hisp,m,35-39,0.863,synthetic_seed
AL,2023,black,non-hisp,f,35-39,0.7062,synthetic_seed
AL,2023,black,non-hisp,m,40-44,0.8494,synthetic_seed
AL,2023,black,non-hisp,f,40-44,0.7232,synthetic_seed
AL,2023,black,non-hisp,m,45-49,0.8541,synthetic_seed
AL,2023,black,non-hisp,f,45-49,0.7679,synthetic_seed
AL,2023,black,non-hisp,m,50-54,0.7821,synthetic_seed
AL,2023,black,non-hisp,f,50-54,0.7417,synthetic_seed
AL,2023,black,non-hisp,m,55-59,0.74,synthetic_seed
AL,2023,black,non-hisp,f,55-59,0.6195,synthetic_seed
AL,2023,black,non-hisp,m,60-64,0.5789,synthetic_seed
AL,2023,black,non-hisp,f,60-64,0.4885,synthetic_seed
AL,2023,black,non-hisp,m,65-69,0.371,synthetic_seed
AL,2023,black,non-hisp,f,65-69,0.2762,synthetic_seed
AL,2023,black,non-hisp,m,70-74,0.2231,synthetic_seed
AL,2023,black,non-hisp,f,70-74,0.1421,synthetic_seed
AL,2023,black,non-hisp,m,75-79,0.1157,synthetic_seed
AL,2023,black,non-hisp,f,75-79,0.0693,synthetic_seed
AL,2023,black,non-hisp,m,80-84,0.0566,synthetic_seed
AL,2023,black,non-hisp,f,80-84,0.0287,synthetic_seed
AL,2023,black,non-hisp,m,85+,0.0188,synthetic_seed
AL,2023,black,non-hisp,f,85+,0.0095,synthetic_seed
AL,2023,black,hisp,m,0-4,0.0,synthetic_seed
AL,2023,black,hisp,f,0-4,0.0,synthetic_seed
AL,2023,black,hisp,m,5-9,0.0,synthetic_seed
AL,2023,black,hisp,f,5-9,0.0,synthetic_seed
AL,2023,black,hisp,m,10-14,0.0,synthetic_seed
AL,2023,black,hisp,f,10-14,0.0,synthetic_seed
AL,2023,black,hisp,m,15-19,0.3493,synthetic_seed
AL,2023,black,hisp,f,15-19,0.3077,synthetic_seed
AL,2023,black,hisp,m,20-24,0.7196,synthetic_seed
AL,2023,black,hisp,f,20-24,0.6685,synthetic_seed
AL,2023,black,hisp,m,25-29,0.8439,synthetic_seed
AL,2023,black,hisp,f,25-29,0.699,synthetic_seed
AL,2023,black,hisp,m,30-34,0.9032,synthetic_seed
AL,2023,black,hisp,f,30-34,0.6957,synthetic_seed
AL,2023,black,hisp,m,35-39,0.8682,synthetic_seed
AL,2023,black,hisp,f,35-39,0.6984,synthetic_seed
AL,2023,black,hisp,m,40-44,0.8526,synthetic_seed
AL,2023,black,hisp,f,40-44,0.7367,synthetic_seed
AL,2023,black,hisp,m,45-49,0.8321,synthetic_seed
AL,2023,black,hisp,f,45-49,0.7272,synthetic_seed
AL,2023,black,hisp,m,50-54,0.8063,synthetic_seed
AL,2023,black,hisp,f,50-54,0.7014,synthetic_seed
AL,2023,black,hisp,m,55-59,0.7413,synthetic_seed
AL,2023,black,hisp,f,55-59,0.632,synthetic_seed
AL,2023,black,hisp,m,60-64,0.574,synthetic_seed
AL,2023,black,hisp,f,60-64,0.5123,synthetic_seed
AL,2023,black,hisp,m,65-69,0.3622,synthetic_seed
AL,2023,black,hisp,f,65-69,0.2661,synthetic_seed
AL,2023,black,hisp,m,70-74,0.2244,synthetic_seed
AL,2023,black,hisp,f,70-74,0.1495,synthetic_seed
AL,2023,black,hisp,m,75-79,0.1156,synthetic_seed
AL,2023,black,hisp,f,75-79,0.0691,synthetic_seed
AL,2023,black,hisp,m,80-84,0.0565,synthetic_seed
AL,2023,black,hisp,f,80-84,0.0293,synthetic_seed
AL,2023,black,hisp,m,85+,0.0189,synthetic_seed
AL,2023,black,hisp,f,85+,0.0094,synthetic_seed
AL,2023,asian,non-hisp,m,0-4,0.0,synthetic_seed
AL,2023,asian,non-hisp,f,0-4,0.0,synthetic_seed
AL,2023,asian,non-hisp,m,5-9,0.0,synthetic_seed
AL,2023,asian,non-hisp,f,5-9,0.0,synthetic_seed
AL,2023,asian,non-hisp,m,10-14,0.0,synthetic_seed
AL,2023,asian,non-hisp,f,10-14,0.0,synthetic_seed
AL,2023,asian,non-hisp,m,15-19,0.3654,synthetic_seed
AL,2023,asian,non-hisp,f,15-19,0.3345,synthetic_seed
AL,2023,asian,non-hisp,m,20-24,0.7608,synthetic_seed
AL,2023,asian,non-hisp,f,20-24,0.7292,synthetic_seed
AL,2023,asian,non-hisp,m,25-29,0.8855,synthetic_seed
AL,2023,asian,non-hisp,f,25-29,0.7525,synthetic_seed
AL,2023,asian,non-hisp,m,30-34,0.9375,synthetic_seed
AL,2023,asian,non-hisp,f,30-34,0.7288,synthetic_seed
AL,2023,asian,non-hisp,m,35-39,0.9461,synthetic_seed
AL,2023,asian,non-hisp,f,35-39,0.7334,synthetic_seed
AL,2023,asian,non-hisp,m,40-44,0.8952,synthetic_seed
AL,2023,asian,non-hisp,f,40-44,0.8102,synthetic_seed
AL,2023,asian,non-hisp,m,45-49,0.8509,synthetic_seed
AL,2023,asian,non-hisp,f,45-49,0.7902,synthetic_seed
AL,2023,asian,non-hisp,m,50-54,0.8319,synthetic_seed
AL,2023,asian,non-hisp,f,50-54,0.7377,synthetic_seed
AL,2023,asian,non-hisp,m,55-59,0.7609,synthetic_seed
AL,2023,asian,non-hisp,f,55-59,0.6814,synthetic_seed
AL,2023,asian,non-hisp,m,60-64,0.5881,synthetic_seed
AL,2023,asian,non-hisp,f,60-64,0.5274,synthetic_seed
AL,2023,asian,non-hisp,m,65-69,0.3905,synthetic_seed
AL,2023,asian,non-hisp,f,65-69,0.2884,synthetic_seed
AL,2023,asian,non-hisp,m,70-74,0.2351,synthetic_seed
AL,2023,asian,non-hisp,f,70-74,0.1537,synthetic_seed
AL,2023,asian,non-hisp,m,75-79,0.1247,synthetic_seed
AL,2023,asian,non-hisp,f,75-79,0.0691,synthetic_seed
AL,2023,asian,non-hisp,m,80-84,0.0617,synthetic_seed
AL,2023,asian,non-hisp,f,80-84,0.0305,synthetic_seed
AL,2023,asian,non-hisp,m,85+,0.0201,synthetic_seed
AL,2023,asian,non-hisp,f,85+,0.0098,synthetic_seed
AL,2023,asian,hisp,m,0-4,0.0,synthetic_seed
AL,2023,asian,hisp,f,0-4,0.0,synthetic_seed
AL,2023,asian,hisp,m,5-9,0.0,synthetic_seed
AL,2023,asian,hisp,f,5-9,0.0,synthetic_seed
AL,2023,asian,hisp,m,10-14,0.0,synthetic_seed
AL,2023,asian,hisp,f,10-14,0.0,synthetic_seed
AL,2023,asian,hisp,m,15-19,0.3697,synthetic_seed
AL,2023,asian,hisp,f,15-19,0.3213,synthetic_seed
AL,2023,asian,hisp,m,20-24,0.7488,synthetic_seed
AL,2023,asian,hisp,f,20-24,0.7007,synthetic_seed
AL,2023,asian,hisp,m,25-29,0.8863,synthetic_seed
AL,2023,asian,hisp,f,25-29,0.7733,synthetic_seed
AL,2023,asian,hisp,m,30-34,0.9318,synthetic_seed
AL,2023,asian,hisp,f,30-34,0.737,synthetic_seed
AL,2023,asian,hisp,m,35-39,0.9364,synthetic_seed
AL,2023,asian,hisp,f,35-39,0.7671,synthetic_seed
AL,2023,asian,hisp,m,40-44,0.9313,synthetic_seed
AL,2023,asian,hisp,f,40-44,0.7957,synthetic_seed
AL,2023,asian,hisp,m,45-49,0.8575,synthetic_seed
AL,2023,asian,hisp,f,45-49,0.7779,synthetic_seed
AL,2023,asian,hisp,m,50-54,0.8167,synthetic_seed
AL,2023,asian,hisp,f,50-54,0.7625,synthetic_seed
AL,2023,asian,hisp,m,55-59,0.7549,synthetic_seed
AL,2023,asian,hisp,f,55-59,0.6351,synthetic_seed
AL,2023,asian,hisp,m,60-64,0.6143,synthetic_seed
AL,2023,asian,hisp,f,60-64,0.5211,synthetic_seed
AL,2023,asian,hisp,m,65-69,0.3977,synthetic_seed
AL,2023,asian,hisp,f,65-69,0.2884,synthetic_seed
AL,2023,asian,hisp,m,70-74,0.2361,synthetic_seed
AL,2023,asian,hisp,f,70-74,0.1484,synthetic_seed
AL,2023,asian,hisp,m,75-79,0.123,synthetic_seed
AL,2023,asian,hisp,f,75-79,0.0691,synthetic_seed
AL,2023,asian,hisp,m,80-84,0.0628,synthetic_seed
AL,2023,asian,hisp,f,80-84,0.0311,synthetic_seed
AL,2023,asian,hisp,m,85+,0.0209,synthetic_seed
AL,2023,asian,hisp,f,85+,0.0105,synthetic_seed
AL,2023,other,non-hisp,m,0-4,0.0,synthetic_seed
AL,2023,other,non-hisp,f,0-4,0.0,synthetic_seed
AL,2023,other,non-hisp,m,5-9,0.0,synthetic_seed
AL,2023,other,non-hisp,f,5-9,0.0,synthetic_seed
AL,2023,other,non-hisp,m,10-14,0.0,synthetic_seed
AL,2023,other,non-hisp,f,10-14,0.0,synthetic_seed
AL,2023,other,non-hisp,m,15-19,0.3569,synthetic_seed
AL,2023,other,non-hisp,f,15-19,0.3279,synthetic_seed
AL,2023,other,non-hisp,m,20-24,0.7443,synthetic_seed
AL,2023,other,non-hisp,f,20-24,0.7243,synthetic_seed
AL,2023,other,non-hisp,m,25-29,0.895,synthetic_seed
AL,2023,other,non-hisp,f,25-29,0.7577,synthetic_seed
AL,2023,other,non-hisp,m,30-34,0.9036,synthetic_seed
AL,2023,other,non-hisp,f,30-34,0.7243,synthetic_seed
AL,2023,other,non-hisp,m,35-39,0.9099,synthetic_seed
AL,2023,other,non-hisp,f,35-39,0.7399,synthetic_seed
AL,2023,other,non-hisp,m,40-44,0.8859,synthetic_seed
AL,2023,other,non-hisp,f,40-44,0.7489,synthetic_seed
AL,2023,other,non-hisp,m,45-49,0.8534,synthetic_seed
AL,2023,other,non-hisp,f,45-49,0.7787,synthetic_seed
AL,2023,other,non-hisp,m,50-54,0.8562,synthetic_seed
AL,2023,other,non-hisp,f,50-54,0.7426,synthetic_seed
AL,2023,other,non-hisp,m,55-59,0.7369,synthetic_seed
AL,2023,other,non-hisp,f,55-59,0.6261,synthetic_seed
AL,2023,other,non-hisp,m,60-64,0.6049,synthetic_seed
AL,2023,other,non-hisp,f,60-64,0.4972,synthetic_seed
AL,2023,other,non-hisp,m,65-69,0.3839,synthetic_seed
AL,2023,other,non-hisp,f,65-69,0.276,synthetic_seed
AL,2023,other,non-hisp,m,70-74,0.2283,synthetic_seed
AL,2023,other,non-hisp,f,70-74,0.1462,synthetic_seed
AL,2023,other,non-hisp,m,75-79,0.1196,synthetic_seed
AL,2023,other,non-hisp,f,75-79,0.0703,synthetic_seed
AL,2023,other,non-hisp,m,80-84,0.0607,synthetic_seed
AL,2023,other,non-hisp,f,80-84,0.03,synthetic_seed
AL,2023,other,non-hisp,m,85+,0.0198,synthetic_seed
AL,2023,other,non-hisp,f,85+,0.0101,synthetic_seed
AL,2023,other,hisp,m,0-4,0.0,synthetic_seed
AL,2023,other,hisp,f,0-4,0.0,synthetic_seed
AL,2023,other,hisp,m,5-9,0.0,synthetic_seed
AL,2023,other,hisp,f,5-9,0.0,synthetic_seed
AL,2023,other,hisp,m,10-14,0.0,synthetic_seed
AL,2023,other,hisp,f,10-14,0.0,synthetic_seed
AL,2023,other,hisp,m,15-19,0.3572,synthetic_seed
AL,2023,other,hisp,f,15-19,0.3117,synthetic_seed
AL,2023,other,hisp,m,20-24,0.7481,synthetic_seed
AL,2023,other,hisp,f,20-24,0.6893,synthetic_seed
AL,2023,other,hisp,m,25-29,0.8938,synthetic_seed
AL,2023,other,hisp,f,25-29,0.7356,synthetic_seed
AL,2023,other,hisp,m,30-34,0.9149,synthetic_seed
AL,2023,other,hisp,f,30-34,0.7361,synthetic_seed
AL,2023,other,hisp,m,35-39,0.897,synthetic_seed
AL,2023,other,hisp,f,35-39,0.7634,synthetic_seed
AL,2023,other,hisp,m,40-44,0.9155,synthetic_seed
AL,2023,other,hisp,f,40-44,0.76,synthetic_seed
AL,2023,other,hisp,m,45-49,0.8565,synthetic_seed
AL,2023,other,hisp,f,45-49,0.7464,synthetic_seed
AL,2023,other,hisp,m,50-54,0.8434,synthetic_seed
AL,2023,other,hisp,f,50-54,0.7536,synthetic_seed
AL,2023,other,hisp,m,55-59,0.7526,synthetic_seed
AL,2023,other,hisp,f,55-59,0.6445,synthetic_seed
AL,2023,other,hisp,m,60-64,0.6,synthetic_seed
AL,2023,other,hisp,f,60-64,0.493,synthetic_seed
AL,2023,other,hisp,m,65-69,0.3871,synthetic_seed
AL,2023,other,hisp,f,65-69,0.269,synthetic_seed
AL,2023,other,hisp,m,70-74,0.2385,synthetic_seed
AL,2023,other,hisp,f,70-74,0.1532,synthetic_seed
AL,2023,other,hisp,m,75-79,0.1184,synthetic_seed
AL,2023,other,hisp,f,75-79,0.0701,synthetic_seed
AL,2023,other,hisp,m,80-84,0.0587,synthetic_seed
AL,2023,other,hisp,f,80-84,0.0306,synthetic_seed
AL,2023,other,hisp,m,85+,0.0198,synthetic_seed
AL,2023,other,hisp,f,85+,0.01,synthetic_seed
AK,2023,white,non-hisp,m,0-4,0.0,synthetic_seed
AK,2023,white,non-hisp,f,0-4,0.0,synthetic_seed
AK,2023,white,non-hisp,m,5-9,0.0,synthetic_seed
AK,2023,white,non-hisp,f,5-9,0.0,synthetic_seed
AK,2023,white,non-hisp,m,10-14,0.0,synthetic_seed
AK,2023,white,non-hisp,f,10-14,0.0,synthetic_seed
AK,2023,white,non-hisp,m,15-19,0.3667,synthetic_seed
AK,2023,white,non-hisp,f,15-19,0.314,synthetic_seed
AK,2023,white,non-hisp,m,20-24,0.7495,synthetic_seed
AK,2023,white,non-hisp,f,20-24,0.72,synthetic_seed
AK,2023,white,non-hisp,m,25-29,0.8687,synthetic_seed
AK,2023,white,non-hisp,f,25-29,0.7107,synthetic_seed
AK,2023,white,non-hisp,m,30-34,0.9136,synthetic_seed
AK,2023,white,non-hisp,f,30-34,0.7471,synthetic_seed
AK,2023,white,non-hisp,m,35-39,0.8986,synthetic_seed
AK,2023,white,non-hisp,f,35-39,0.7338,synthetic_seed
AK,2023,white,non-hisp,m,40-44,0.9089,synthetic_seed
AK,2023,white,non-hisp,f,40-44,0.7832,synthetic_seed
AK,2023,white,non-hisp,m,45-49,0.8593,synthetic_seed
AK,2023,white,non-hisp,f,45-49,0.7588,synthetic_seed
AK,2023,white,non-hisp,m,50-54,0.8045,synthetic_seed
AK,2023,white,non-hisp,f,50-54,0.7587,synthetic_seed
AK,2023,white,non-hisp,m,55-59,0.7632,synthetic_seed
AK,2023,white,non-hisp,f,55-59,0.6609,synthetic_seed
AK,2023,white,non-hisp,m,60-64,0.6023,synthetic_seed
AK,2023,white,non-hisp,f,60-64,0.4861,synthetic_seed
AK,2023,white,non-hisp,m,65-69,0.3625,synthetic_seed
AK,2023,white,non-hisp,f,65-69,0.284,synthetic_seed
AK,2023,white,non-hisp,m,70-74,0.2385,synthetic_seed
AK,2023,white,non-hisp,f,70-74,0.1482,synthetic_seed
AK,2023,white,non-hisp,m,75-79,0.1228,synthetic_seed
AK,2023,white,non-hisp,f,75-79,0.0716,synthetic_seed
AK,2023,white,non-hisp,m,80-84,0.0601,synthetic_seed
AK,2023,white,non-hisp,f,80-84,0.031,synthetic_seed
AK,2023,white,non-hisp,m,85+,0.0207,synthetic_seed
AK,2023,white,non-hisp,f,85+,0.0097,synthetic_seed
AK,2023,white,hisp,m,0-4,0.0,synthetic_seed
AK,2023,white,hisp,f,0-4,0.0,synthetic_seed
AK,2023,white,hisp,m,5-9,0.0,synthetic_seed
AK,2023,white,hisp,f,5-9,0.0,synthetic_seed
AK,2023,white,hisp,m,10-14,0.0,synthetic_seed
AK,2023,white,hisp,f,10-14,0.0,synthetic_seed
AK,2023,white,hisp,m,15-19,0.3602,synthetic_seed
AK,2023,white,hisp,f,15-19,0.3136,synthetic_seed
AK,2023,white,hisp,m,20-24,0.7486,synthetic_seed
AK,2023,white,hisp,f,20-24,0.7188,synthetic_seed
AK,2023,white,hisp,m,25-29,0.8837,synthetic_seed
AK,2023,white,hisp,f,25-29,0.7513,synthetic_seed
AK,2023,white,hisp,m,30-34,0.9119,synthetic_seed
AK,2023,white,hisp,f,30-34,0.7004,synthetic_seed
AK,2023,white,hisp,m,35-39,0.9167,synthetic_seed
AK,2023,white,hisp,f,35-39,0.7467,synthetic_seed
AK,2023,white,hisp,m,40-44,0.9065,synthetic_seed
AK,2023,white,hisp,f,40-44,0.7561,synthetic_seed
AK,2023,white,hisp,m,45-49,0.8565,synthetic_seed
AK,2023,white,hisp,f,45-49,0.768,synthetic_seed
AK,2023,white,hisp,m,50-54,0.8354,synthetic_seed
AK,2023,white,hisp,f,50-54,0.738,synthetic_seed
AK,2023,white,hisp,m,55-59,0.7317,synthetic_seed
AK,2023,white,hisp,f,55-59,0.6507,synthetic_seed
AK,2023,white,hisp,m,60-64,0.5946,synthetic_seed
AK,2023,white,hisp,f,60-64,0.4962,synthetic_seed
AK,2023,white,hisp,m,65-69,0.3912,synthetic_seed
AK,2023,white,hisp,f,65-69,0.2915,synthetic_seed
AK,2023,white,hisp,m,70-74,0.2288,synthetic_seed
AK,2023,white,hisp,f,70-74,0.1517,synthetic_seed
AK,2023,white,hisp,m,75-79,0.1205,synthetic_seed
AK,2023,white,hisp,f,75-79,0.0711,synthetic_seed
AK,2023,white,hisp,m,80-84,0.0599,synthetic_seed
AK,2023,white,hisp,f,80-84,0.0298,synthetic_seed
AK,2023,white,hisp,m,85+,0.02,synthetic_seed
AK,2023,white,hisp,f,85+,0.0101,synthetic_seed
AK,2023,black,non-hisp,m,0-4,0.0,synthetic_seed
AK,2023,black,non-hisp,f,0-4,0.0,synthetic_seed
AK,2023,black,non-hisp,m,5-9,0.0,synthetic_seed
AK,2023,black,non-hisp,f,5-9,0.0,synthetic_seed
AK,2023,black,non-hisp,m,10-14,0.0,synthetic_seed
AK,2023,black,non-hisp,f,10-14,0.0,synthetic_seed
AK,2023,black,non-hisp,m,15-19,0.3401,synthetic_seed
AK,2023,black,non-hisp,f,15-19,0.3149,synthetic_seed
AK,2023,black,non-hisp,m,20-24,0.7398,synthetic_seed
AK,2023,black,non-hisp,f,20-24,0.6571,synthetic_seed
AK,2023,black,non-hisp,m,25-29,0.8468,synthetic_seed
AK,2023,black,non-hisp,f,25-29,0.7214,synthetic_seed
AK,2023,black,non-hisp,m,30-34,0.8673,synthetic_seed
AK,2023,black,non-hisp,f,30-34,0.7389,synthetic_seed
AK,2023,black,non-hisp,m,35-39,0.8881,synthetic_seed
AK,2023,black,non-hisp,f,35-39,0.7166,synthetic_seed
AK,2023,black,non-hisp,m,40-44,0.8474,synthetic_seed
AK,2023,black,non-hisp,f,40-44,0.7409,synthetic_seed
AK,2023,black,non-hisp,m,45-49,0.8821,synthetic_seed
AK,2023,black,non-hisp,f,45-49,0.7362,synthetic_seed
AK,2023,black,non-hisp,m,50-54,0.823,synthetic_seed
AK,2023,black,non-hisp,f,50-54,0.7364,synthetic_seed
AK,2023,black,non-hisp,m,55-59,0.7346,synthetic_seed
AK,2023,black,non-hisp,f,55-59,0.6301,synthetic_seed
AK,2023,black,non-hisp,m,60-64,0.5977,synthetic_seed
AK,2023,black,non-hisp,f,60-64,0.4794,synthetic_seed
AK,2023,black,non-hisp,m,65-69,0.3568,synthetic_seed
AK,2023,black,non-hisp,f,65-69,0.264,synthetic_seed
AK,2023,black,non-hisp,m,70-74,0.2245,synthetic_seed
AK,2023,black,non-hisp,f,70-74,0.1456,synthetic_seed
AK,2023,black,non-hisp,m,75-79,0.1169,synthetic_seed
AK,2023,black,non-hisp,f,75-79,0.0679,synthetic_seed
AK,2023,black,non-hisp,m,80-84,0.0579,synthetic_seed
AK,2023,black,non-hisp,f,80-84,0.03,synthetic_seed
AK,2023,black,non-hisp,m,85+,0.0193,synthetic_seed
AK,2023,black,non-hisp,f,85+,0.0098,synthetic_seed
AK,2023,black,hisp,m,0-4,0.0,synthetic_seed
AK,2023,black,hisp,f,0-4,0.0,synthetic_seed
AK,2023,black,hisp,m,5-9,0.0,synthetic_seed
AK,2023,black,hisp,f,5-9,0.0,synthetic_seed
AK,2023,black,hisp,m,10-14,0.0,synthetic_seed
AK,2023,black,hisp,f,10-14,0.0,synthetic_seed
AK,2023,black,hisp,m,15-19,0.3462,synthetic_seed
AK,2023,black,hisp,f,15-19,0.3144,synthetic_seed
AK,2023,black,hisp,m,20-24,0.7519,synthetic_seed
AK,2023,black,hisp,f,20-24,0.6797,synthetic_seed
AK,2023,black,hisp,m,25-29,0.8719,synthetic_seed
AK,2023,black,hisp,f,25-29,0.7233,synthetic_seed
AK,2023,black,hisp,m,30-34,0.8601,synthetic_seed
AK,2023,black,hisp,f,30-34,0.6841,synthetic_seed
AK,2023,black,hisp,m,35-39,0.8451,synthetic_seed
AK,2023,black,hisp,f,35-39,0.7128,synthetic_seed
AK,2023,black,hisp,m,40-44,0.8687,synthetic_seed
AK,2023,black,hisp,f,40-44,0.7463,synthetic_seed
AK,2023,black,hisp,m,45-49,0.8373,synthetic_seed
AK,2023,black,hisp,f,45-49,0.7473,synthetic_seed
AK,2023,black,hisp,m,50-54,0.8348,synthetic_seed
AK,2023,black,hisp,f,50-54,0.6995,synthetic_seed
AK,2023,black,hisp,m,55-59,0.6917,synthetic_seed
AK,2023,black,hisp,f,55-59,0.6137,synthetic_seed
AK,2023,black,hisp,m,60-64,0.5793,synthetic_seed
AK,2023,black,hisp,f,60-64,0.4787,synthetic_seed
AK,2023,black,hisp,m,65-69,0.3691,synthetic_seed
AK,2023,black,hisp,f,65-69,0.2668,synthetic_seed
AK,2023,black,hisp,m,70-74,0.2194,synthetic_seed
AK,2023,black,hisp,f,70-74,0.1483,synthetic_seed
AK,2023,black,hisp,m,75-79,0.1129,synthetic_seed
AK,2023,black,hisp,f,75-79,0.0669,synthetic_seed
AK,2023,black,hisp,m,80-84,0.0583,synthetic_seed
AK,2023,black,hisp,f,80-84,0.0299,synthetic_seed
AK,2023,black,hisp,m,85+,0.0193,synthetic_seed
AK,2023,black,hisp,f,85+,0.0097,synthetic_seed
AK,2023,asian,non-hisp,m,0-4,0.0,synthetic_seed
AK,2023,asian,non-hisp,f,0-4,0.0,synthetic_seed
AK,2023,asian,non-hisp,m,5-9,0.0,synthetic_seed
AK,2023,asian,non-hisp,f,5-9,0.0,synthetic_seed
AK,2023,asian,non-hisp,m,10-14,0.0,synthetic_seed
