state_code,year,race,origin,sex,age_group,population,is_projection
WI,2018,black,non-hisp,f,85+,4582,0
WI,2018,asian,non-hisp,m,0-4,4739,0
WI,2018,asian,non-hisp,f,0-4,4739,0
WI,2018,asian,non-hisp,m,5-9,4903,0
WI,2018,asian,non-hisp,f,5-9,4903,0
WI,2018,asian,non-hisp,m,10-14,5229,0
WI,2018,asian,non-hisp,f,10-14,5229,0
WI,2018,asian,non-hisp,m,15-19,5229,0
WI,2018,asian,non-hisp,f,15-19,5229,0
WI,2018,asian,non-hisp,m,20-24,5393,0
WI,2018,asian,non-hisp,f,20-24,5393,0
WI,2018,asian,non-hisp,m,25-29,5720,0
WI,2018,asian,non-hisp,f,25-29,5720,0
WI,2018,asian,non-hisp,m,30-34,5720,0
WI,2018,asian,non-hisp,f,30-34,5720,0
WI,2018,asian,non-hisp,m,35-39,5556,0
WI,2018,asian,non-hisp,f,35-39,5556,0
WI,2018,asian,non-hisp,m,40-44,5148,0
WI,2018,asian,non-hisp,f,40-44,5148,0
WI,2018,asian,non-hisp,m,45-49,4903,0
WI,2018,asian,non-hisp,f,45-49,4903,0
WI,2018,asian,non-hisp,m,50-54,5229,0
WI,2018,asian,non-hisp,f,50-54,5229,0
WI,2018,asian,non-hisp,m,55-59,5475,0
WI,2018,asian,non-hisp,f,55-59,5475,0
WI,2018,asian,non-hisp,m,60-64,5229,0
WI,2018,asian,non-hisp,f,60-64,5229,0
WI,2018,asian,non-hisp,m,65-69,4412,0
WI,2018,asian,non-hisp,f,65-69,4412,0
WI,2018,asian,non-hisp,m,70-74,3677,0
WI,2018,asian,non-hisp,f,70-74,3677,0
WI,2018,asian,non-hisp,m,75-79,2615,0
WI,2018,asian,non-hisp,f,75-79,2615,0
WI,2018,asian,non-hisp,m,80-84,1307,0
WI,2018,asian,non-hisp,f,80-84,1961,0
WI,2018,asian,non-hisp,m,85+,1373,0
WI,2018,asian,non-hisp,f,85+,2059,0
WI,2018,other,non-hisp,m,0-4,5078,0
WI,2018,other,non-hisp,f,0-4,5078,0
WI,2018,other,non-hisp,m,5-9,5253,0
WI,2018,other,non-hisp,f,5-9,5253,0
WI,2018,other,non-hisp,m,10-14,5603,0
WI,2018,other,non-hisp,f,10-14,5603,0
WI,2018,other,non-hisp,m,15-19,5603,0
WI,2018,other,non-hisp,f,15-19,5603,0
WI,2018,other,non-hisp,m,20-24,5778,0
WI,2018,other,non-hisp,f,20-24,5778,0
WI,2018,other,non-hisp,m,25-29,6129,0
WI,2018,other,non-hisp,f,25-29,6129,0
WI,2018,other,non-hisp,m,30-34,6129,0
WI,2018,other,non-hisp,f,30-34,6129,0
WI,2018,other,non-hisp,m,35-39,5954,0
WI,2018,other,non-hisp,f,35-39,5954,0
WI,2018,other,non-hisp,m,40-44,5516,0
WI,2018,other,non-hisp,f,40-44,5516,0
WI,2018,other,non-hisp,m,45-49,5253,0
WI,2018,other,non-hisp,f,45-49,5253,0
WI,2018,other,non-hisp,m,50-54,5603,0
WI,2018,other,non-hisp,f,50-54,5603,0
WI,2018,other,non-hisp,m,55-59,5866,0
WI,2018,other,non-hisp,f,55-59,5866,0
WI,2018,other,non-hisp,m,60-64,5603,0
WI,2018,other,non-hisp,f,60-64,5603,0
WI,2018,other,non-hisp,m,65-69,4728,0
WI,2018,other,non-hisp,f,65-69,4728,0
WI,2018,other,non-hisp,m,70-74,3940,0
WI,2018,other,non-hisp,f,70-74,3940,0
WI,2018,other,non-hisp,m,75-79,2802,0
WI,2018,other,non-hisp,f,75-79,2802,0
WI,2018,other,non-hisp,m,80-84,1401,0
WI,2018,other,non-hisp,f,80-84,2101,0
WI,2018,other,non-hisp,m,85+,1471,0
WI,2018,other,non-hisp,f,85+,2206,0
WI,2018,white,hisp,m,0-4,7241,0
WI,2018,white,hisp,f,0-4,7241,0
WI,2018,white,hisp,m,5-9,7490,0
WI,2018,white,hisp,f,5-9,7490,0
WI,2018,white,hisp,m,10-14,7990,0
WI,2018,white,hisp,f,10-14,7990,0
WI,2018,white,hisp,m,15-19,7990,0
WI,2018,white,hisp,f,15-19,7990,0
WI,2018,white,hisp,m,20-24,8239,0
WI,2018,white,hisp,f,20-24,8239,0
WI,2018,white,hisp,m,25-29,8739,0
WI,2018,white,hisp,f,25-29,8739,0
WI,2018,white,hisp,m,30-34,8739,0
WI,2018,white,hisp,f,30-34,8739,0
WI,2018,white,hisp,m,35-39,8489,0
WI,2018,white,hisp,f,35-39,8489,0
WI,2018,white,hisp,m,40-44,7865,0
WI,2018,white,hisp,f,40-44,7865,0
WI,2018,white,hisp,m,45-49,7490,0
WI,2018,white,hisp,f,45-49,7490,0
WI,2018,white,hisp,m,50-54,7990,0
WI,2018,white,hisp,f,50-54,7990,0
WI,2018,white,hisp,m,55-59,8364,0
WI,2018,white,hisp,f,55-59,8364,0
WI,2018,white,hisp,m,60-64,7990,0
WI,2018,white,hisp,f,60-64,7990,0
WI,2018,white,hisp,m,65-69,6741,0
WI,2018,white,hisp,f,65-69,6741,0
WI,2018,white,hisp,m,70-74,5618,0
WI,2018,white,hisp,f,70-74,5618,0
WI,2018,white,hisp,m,75-79,3995,0
WI,2018,white,hisp,f,75-79,3995,0
WI,2018,white,hisp,m,80-84,1997,0
WI,2018,white,hisp,f,80-84,2996,0
WI,2018,white,hisp,m,85+,2097,0
WI,2018,white,hisp,f,85+,3146,0
WI,2018,black,hisp,m,0-4,203,0
WI,2018,black,hisp,f,0-4,203,0
WI,2018,black,hisp,m,5-9,210,0
WI,2018,black,hisp,f,5-9,210,0
WI,2018,black,hisp,m,10-14,224,0
WI,2018,black,hisp,f,10-14,224,0
WI,2018,black,hisp,m,15-19,224,0
WI,2018,black,hisp,f,15-19,224,0
WI,2018,black,hisp,m,20-24,231,0
WI,2018,black,hisp,f,20-24,231,0
WI,2018,black,hisp,m,25-29,245,0
WI,2018,black,hisp,f,25-29,245,0
WI,2018,black,hisp,m,30-34,245,0
WI,2018,black,hisp,f,30-34,245,0
WI,2018,black,hisp,m,35-39,238,0
WI,2018,black,hisp,f,35-39,238,0
WI,2018,black,hisp,m,40-44,220,0
WI,2018,black,hisp,f,40-44,220,0
WI,2018,black,hisp,m,45-49,210,0
WI,2018,black,hisp,f,45-49,210,0
WI,2018,black,hisp,m,50-54,224,0
WI,2018,black,hisp,f,50-54,224,0
WI,2018,black,hisp,m,55-59,234,0
WI,2018,black,hisp,f,55-59,234,0
WI,2018,black,hisp,m,60-64,224,0
WI,2018,black,hisp,f,60-64,224,0
WI,2018,black,hisp,m,65-69,189,0
WI,2018,black,hisp,f,65-69,189,0
WI,2018,black,hisp,m,70-74,157,0
WI,2018,black,hisp,f,70-74,157,0
WI,2018,black,hisp,m,75-79,112,0
WI,2018,black,hisp,f,75-79,112,0
WI,2018,black,hisp,m,80-84,56,0
WI,2018,black,hisp,f,80-84,84,0
WI,2018,black,hisp,m,85+,59,0
WI,2018,black,hisp,f,85+,88,0
WI,2018,asian,hisp,m,0-4,57,0
WI,2018,asian,hisp,f,0-4,57,0
WI,2018,asian,hisp,m,5-9,59,0
WI,2018,asian,hisp,f,5-9,59,0
WI,2018,asian,hisp,m,10-14,63,0
WI,2018,asian,hisp,f,10-14,63,0
WI,2018,asian,hisp,m,15-19,63,0
WI,2018,asian,hisp,f,15-19,63,0
WI,2018,asian,hisp,m,20-24,65,0
WI,2018,asian,hisp,f,20-24,65,0
WI,2018,asian,hisp,m,25-29,69,0
WI,2018,asian,hisp,f,25-29,69,0
WI,2018,asian,hisp,m,30-34,69,0
WI,2018,asian,hisp,f,30-34,69,0
WI,2018,asian,hisp,m,35-39,67,0
WI,2018,asian,hisp,f,35-39,67,0
WI,2018,asian,hisp,m,40-44,62,0
WI,2018,asian,hisp,f,40-44,62,0
WI,2018,asian,hisp,m,45-49,59,0
WI,2018,asian,hisp,f,45-49,59,0
WI,2018,asian,hisp,m,50-54,63,0
WI,2018,asian,hisp,f,50-54,63,0
WI,2018,asian,hisp,m,55-59,66,0
WI,2018,asian,hisp,f,55-59,66,0
WI,2018,asian,hisp,m,60-64,63,0
WI,2018,asian,hisp,f,60-64,63,0
WI,2018,asian,hisp,m,65-69,53,0
WI,2018,asian,hisp,f,65-69,53,0
WI,2018,asian,hisp,m,70-74,44,0
WI,2018,asian,hisp,f,70-74,44,0
WI,2018,asian,hisp,m,75-79,31,0
WI,2018,asian,hisp,f,75-79,31,0
WI,2018,asian,hisp,m,80-84,16,0
WI,2018,asian,hisp,f,80-84,24,0
WI,2018,asian,hisp,m,85+,16,0
WI,2018,asian,hisp,f,85+,25,0
WI,2018,other,hisp,m,0-4,4211,0
WI,2018,other,hisp,f,0-4,4211,0
WI,2018,other,hisp,m,5-9,4356,0
WI,2018,other,hisp,f,5-9,4356,0
WI,2018,other,hisp,m,10-14,4647,0
WI,2018,other,hisp,f,10-14,4647,0
WI,2018,other,hisp,m,15-19,4647,0
WI,2018,other,hisp,f,15-19,4647,0
WI,2018,other,hisp,m,20-24,4792,0
WI,2018,other,hisp,f,20-24,4792,0
WI,2018,other,hisp,m,25-29,5082,0
WI,2018,other,hisp,f,25-29,5082,0
WI,2018,other,hisp,m,30-34,5082,0
WI,2018,other,hisp,f,30-34,5082,0
WI,2018,other,hisp,m,35-39,4937,0
WI,2018,other,hisp,f,35-39,4937,0
WI,2018,other,hisp,m,40-44,4574,0
WI,2018,other,hisp,f,40-44,4574,0
WI,2018,other,hisp,m,45-49,4356,0
WI,2018,other,hisp,f,45-49,4356,0
WI,2018,other,hisp,m,50-54,4647,0
WI,2018,other,hisp,f,50-54,4647,0
WI,2018,other,hisp,m,55-59,4864,0
WI,2018,other,hisp,f,55-59,4864,0
WI,2018,other,hisp,m,60-64,4647,0
WI,2018,other,hisp,f,60-64,4647,0
WI,2018,other,hisp,m,65-69,3921,0
WI,2018,other,hisp,f,65-69,3921,0
WI,2018,other,hisp,m,70-74,3267,0
WI,2018,other,hisp,f,70-74,3267,0
WI,2018,other,hisp,m,75-79,2323,0
WI,2018,other,hisp,f,75-79,2323,0
WI,2018,other,hisp,m,80-84,1162,0
WI,2018,other,hisp,f,80-84,1742,0
WI,2018,other,hisp,m,85+,1220,0
WI,2018,other,hisp,f,85+,1830,0
WY,2018,white,non-hisp,m,0-4,14066,0
WY,2018,white,non-hisp,f,0-4,14066,0
WY,2018,white,non-hisp,m,5-9,14551,0
WY,2018,white,non-hisp,f,5-9,14551,0
WY,2018,white,non-hisp,m,10-14,15521,0
WY,2018,white,non-hisp,f,10-14,15521,0
WY,2018,white,non-hisp,m,15-19,15521,0
WY,2018,white,non-hisp,f,15-19,15521,0
WY,2018,white,non-hisp,m,20-24,16006,0
WY,2018,white,non-hisp,f,20-24,16006,0
WY,2018,white,non-hisp,m,25-29,16976,0
WY,2018,white,non-hisp,f,25-29,16976,0
WY,2018,white,non-hisp,m,30-34,16976,0
WY,2018,white,non-hisp,f,30-34,16976,0
WY,2018,white,non-hisp,m,35-39,16491,0
WY,2018,white,non-hisp,f,35-39,16491,0
WY,2018,white,non-hisp,m,40-44,15279,0
WY,2018,white,non-hisp,f,40-44,15279,0
WY,2018,white,non-hisp,m,45-49,14551,0
WY,2018,white,non-hisp,f,45-49,14551,0
WY,2018,white,non-hisp,m,50-54,15521,0
WY,2018,white,non-hisp,f,50-54,15521,0
WY,2018,white,non-hisp,m,55-59,16249,0
WY,2018,white,non-hisp,f,55-59,16249,0
WY,2018,white,non-hisp,m,60-64,15521,0
WY,2018,white,non-hisp,f,60-64,15521,0
WY,2018,white,non-hisp,m,65-69,13096,0
WY,2018,white,non-hisp,f,65-69,13096,0
WY,2018,white,non-hisp,m,70-74,10913,0
WY,2018,white,non-hisp,f,70-74,10913,0
WY,2018,white,non-hisp,m,75-79,7761,0
WY,2018,white,non-hisp,f,75-79,7761,0
WY,2018,white,non-hisp,m,80-84,3880,0
WY,2018,white,non-hisp,f,80-84,5820,0
WY,2018,white,non-hisp,m,85+,4074,0
WY,2018,white,non-hisp,f,85+,6112,0
WY,2018,black,non-hisp,m,0-4,90,0
WY,2018,black,non-hisp,f,0-4,90,0
WY,2018,black,non-hisp,m,5-9,93,0
WY,2018,black,non-hisp,f,5-9,93,0
WY,2018,black,non-hisp,m,10-14,99,0
WY,2018,black,non-hisp,f,10-14,99,0
WY,2018,black,non-hisp,m,15-19,99,0
WY,2018,black,non-hisp,f,15-19,99,0
WY,2018,black,non-hisp,m,20-24,102,0
WY,2018,black,non-hisp,f,20-24,102,0
WY,2018,black,non-hisp,m,25-29,109,0
WY,2018,black,non-hisp,f,25-29,109,0
WY,2018,black,non-hisp,m,30-34,109,0
WY,2018,black,non-hisp,f,30-34,109,0
WY,2018,black,non-hisp,m,35-39,105,0
WY,2018,black,non-hisp,f,35-39,105,0
WY,2018,black,non-hisp,m,40-44,98,0
WY,2018,black,non-hisp,f,40-44,98,0
WY,2018,black,non-hisp,m,45-49,93,0
WY,2018,black,non-hisp,f,45-49,93,0
WY,2018,black,non-hisp,m,50-54,99,0
WY,2018,black,non-hisp,f,50-54,99,0
WY,2018,black,non-hisp,m,55-59,104,0
WY,2018,black,non-hisp,f,55-59,104,0
WY,2018,black,non-hisp,m,60-64,99,0
WY,2018,black,non-hisp,f,60-64,99,0
WY,2018,black,non-hisp,m,65-69,84,0
WY,2018,black,non-hisp,f,65-69,84,0
WY,2018,black,non-hisp,m,70-74,70,0
WY,2018,black,non-hisp,f,70-74,70,0
WY,2018,black,non-hisp,m,75-79,50,0
WY,2018,black,non-hisp,f,75-79,50,0
WY,2018,black,non-hisp,m,80-84,25,0
WY,2018,black,non-hisp,f,80-84,37,0
WY,2018,black,non-hisp,m,85+,26,0
WY,2018,black,non-hisp,f,85+,39,0
WY,2018,asian,non-hisp,m,0-4,163,0
WY,2018,asian,non-hisp,f,0-4,163,0
WY,2018,asian,non-hisp,m,5-9,168,0
WY,2018,asian,non-hisp,f,5-9,168,0
WY,2018,asian,non-hisp,m,10-14,180,0
WY,2018,asian,non-hisp,f,10-14,180,0
WY,2018,asian,non-hisp,m,15-19,180,0
WY,2018,asian,non-hisp,f,15-19,180,0
WY,2018,asian,non-hisp,m,20-24,185,0
WY,2018,asian,non-hisp,f,20-24,185,0
WY,2018,asian,non-hisp,m,25-29,196,0
WY,2018,asian,non-hisp,f,25-29,196,0
WY,2018,asian,non-hisp,m,30-34,196,0
WY,2018,asian,non-hisp,f,30-34,196,0
WY,2018,asian,non-hisp,m,35-39,191,0
WY,2018,asian,non-hisp,f,35-39,191,0
WY,2018,asian,non-hisp,m,40-44,177,0
WY,2018,asian,non-hisp,f,40-44,177,0
WY,2018,asian,non-hisp,m,45-49,168,0
WY,2018,asian,non-hisp,f,45-49,168,0
WY,2018,asian,non-hisp,m,50-54,180,0
WY,2018,asian,non-hisp,f,50-54,180,0
WY,2018,asian,non-hisp,m,55-59,188,0
WY,2018,asian,non-hisp,f,55-59,188,0
WY,2018,asian,non-hisp,m,60-64,180,0
WY,2018,asian,non-hisp,f,60-64,180,0
WY,2018,asian,non-hisp,m,65-69,152,0
WY,2018,asian,non-hisp,f,65-69,152,0
WY,2018,asian,non-hisp,m,70-74,126,0
WY,2018,asian,non-hisp,f,70-74,126,0
WY,2018,asian,non-hisp,m,75-79,90,0
WY,2018,asian,non-hisp,f,75-79,90,0
WY,2018,asian,non-hisp,m,80-84,45,0
WY,2018,asian,non-hisp,f,80-84,67,0
WY,2018,asian,non-hisp,m,85+,47,0
WY,2018,asian,non-hisp,f,85+,71,0
WY,2018,other,non-hisp,m,0-4,757,0
WY,2018,other,non-hisp,f,0-4,757,0
WY,2018,other,non-hisp,m,5-9,783,0
WY,2018,other,non-hisp,f,5-9,783,0
WY,2018,other,non-hisp,m,10-14,835,0
WY,2018,other,non-hisp,f,10-14,835,0
WY,2018,other,non-hisp,m,15-19,835,0
WY,2018,other,non-hisp,f,15-19,835,0
WY,2018,other,non-hisp,m,20-24,861,0
WY,2018,other,non-hisp,f,20-24,861,0
WY,2018,other,non-hisp,m,25-29,913,0
WY,2018,other,non-hisp,f,25-29,913,0
WY,2018,other,non-hisp,m,30-34,913,0
WY,2018,other,non-hisp,f,30-34,913,0
WY,2018,other,non-hisp,m,35-39,887,0
WY,2018,other,non-hisp,f,35-39,887,0
WY,2018,other,non-hisp,m,40-44,822,0
WY,2018,other,non-hisp,f,40-44,822,0
WY,2018,other,non-hisp,m,45-49,783,0
WY,2018,other,non-hisp,f,45-49,783,0
WY,2018,other,non-hisp,m,50-54,835,0
WY,2018,other,non-hisp,f,50-54,835,0
WY,2018,other,non-hisp,m,55-59,874,0
WY,2018,other,non-hisp,f,55-59,874,0
WY,2018,other,non-hisp,m,60-64,835,0
WY,2018,other,non-hisp,f,60-64,835,0
WY,2018,other,non-hisp,m,65-69,704,0
WY,2018,other,non-hisp,f,65-69,704,0
WY,2018,other,non-hisp,m,70-74,587,0
WY,2018,other,non-hisp,f,70-74,587,0
WY,2018,other,non-hisp,m,75-79,417,0
WY,2018,other,non-hisp,f,75-79,417,0
WY,2018,other,non-hisp,m,80-84,209,0
WY,2018,other,non-hisp,f,80-84,313,0
WY,2018,other,non-hisp,m,85+,219,0
WY,2018,other,non-hisp,f,85+,329,0
WY,2018,white,hisp,m,0-4,1259,0
WY,2018,white,hisp,f,0-4,1259,0
WY,2018,white,hisp,m,5-9,1302,0
WY,2018,white,hisp,f,5-9,1302,0
WY,2018,white,hisp,m,10-14,1389,0
WY,2018,white,hisp,f,10-14,1389,0
WY,2018,white,hisp,m,15-19,1389,0
WY,2018,white,hisp,f,15-19,1389,0
WY,2018,white,hisp,m,20-24,1433,0
WY,2018,white,hisp,f,20-24,1433,0
WY,2018,white,hisp,m,25-29,1519,0
WY,2018,white,hisp,f,25-29,1519,0
WY,2018,white,hisp,m,30-34,1519,0
WY,2018,white,hisp,f,30-34,1519,0
WY,2018,white,hisp,m,35-39,1476,0
WY,2018,white,hisp,f,35-39,1476,0
WY,2018,white,hisp,m,40-44,1368,0
WY,2018,white,hisp,f,40-44,1368,0
WY,2018,white,hisp,m,45-49,1302,0
WY,2018,white,hisp,f,45-49,1302,0
WY,2018,white,hisp,m,50-54,1389,0
WY,2018,white,hisp,f,50-54,1389,0
WY,2018,white,hisp,m,55-59,1454,0
WY,2018,white,hisp,f,55-59,1454,0
WY,2018,white,hisp,m,60-64,1389,0
WY,2018,white,hisp,f,60-64,1389,0
WY,2018,white,hisp,m,65-69,1172,0
WY,2018,white,hisp,f,65-69,1172,0
WY,2018,white,hisp,m,70-74,977,0
WY,2018,white,hisp,f,70-74,977,0
WY,2018,white,hisp,m,75-79,695,0
WY,2018,white,hisp,f,75-79,695,0
WY,2018,white,hisp,m,80-84,347,0
WY,2018,white,hisp,f,80-84,521,0
WY,2018,white,hisp,m,85+,365,0
WY,2018,white,hisp,f,85+,547,0
WY,2018,black,hisp,m,0-4,16,0
WY,2018,black,hisp,f,0-4,16,0
WY,2018,black,hisp,m,5-9,17,0
WY,2018,black,hisp,f,5-9,17,0
WY,2018,black,hisp,m,10-14,18,0
WY,2018,black,hisp,f,10-14,18,0
WY,2018,black,hisp,m,15-19,18,0
WY,2018,black,hisp,f,15-19,18,0
WY,2018,black,hisp,m,20-24,19,0
WY,2018,black,hisp,f,20-24,19,0
WY,2018,black,hisp,m,25-29,20,0
WY,2018,black,hisp,f,25-29,20,0
WY,2018,black,hisp,m,30-34,20,0
WY,2018,black,hisp,f,30-34,20,0
WY,2018,black,hisp,m,35-39,19,0
WY,2018,black,hisp,f,35-39,19,0
WY,2018,black,hisp,m,40-44,18,0
WY,2018,black,hisp,f,40-44,18,0
WY,2018,black,hisp,m,45-49,17,0
WY,2018,black,hisp,f,45-49,17,0
WY,2018,black,hisp,m,50-54,18,0
WY,2018,black,hisp,f,50-54,18,0
WY,2018,black,hisp,m,55-59,19,0
WY,2018,black,hisp,f,55-59,19,0
WY,2018,black,hisp,m,60-64,18,0
WY,2018,black,hisp,f,60-64,18,0
WY,2018,black,hisp,m,65-69,15,0
WY,2018,black,hisp,f,65-69,15,0
WY,2018,black,hisp,m,70-74,13,0
WY,2018,black,hisp,f,70-74,13,0
WY,2018,black,hisp,m,75-79,9,0
WY,2018,black,hisp,f,75-79,9,0
WY,2018,black,hisp,m,80-84,5,0
WY,2018,black,hisp,f,80-84,7,0
WY,2018,black,hisp,m,85+,5,0
WY,2018,black,hisp,f,85+,7,0
WY,2018,asian,hisp,m,0-4,6,0
WY,2018,asian,hisp,f,0-4,6,0
WY,2018,asian,hisp,m,5-9,6,0
WY,2018,asian,hisp,f,5-9,6,0
WY,2018,asian,hisp,m,10-14,6,0
WY,2018,asian,hisp,f,10-14,6,0
WY,2018,asian,hisp,m,15-19,6,0
WY,2018,asian,hisp,f,15-19,6,0
WY,2018,asian,hisp,m,20-24,6,0
WY,2018,asian,hisp,f,20-24,6,0
WY,2018,asian,hisp,m,25-29,7,0
WY,2018,asian,hisp,f,25-29,7,0
WY,2018,asian,hisp,m,30-34,7,0
WY,2018,asian,hisp,f,30-34,7,0
WY,2018,asian,hisp,m,35-39,7,0
WY,2018,asian,hisp,f,35-39,7,0
WY,2018,asian,hisp,m,40-44,6,0
WY,2018,asian,hisp,f,40-44,6,0
WY,2018,asian,hisp,m,45-49,6,0
WY,2018,asian,hisp,f,45-49,6,0
WY,2018,asian,hisp,m,50-54,6,0
WY,2018,asian,hisp,f,50-54,6,0
WY,2018,asian,hisp,m,55-59,7,0
WY,2018,asian,hisp,f,55-59,7,0
WY,2018,asian,hisp,m,60-64,6,0
WY,2018,asian,hisp,f,60-64,6,0
WY,2018,asian,hisp,m,65-69,5,0
WY,2018,asian,hisp,f,65-69,5,0
WY,2018,asian,hisp,m,70-74,4,0
WY,2018,asian,hisp,f,70-74,4,0
WY,2018,asian,hisp,m,75-79,3,0
WY,2018,asian,hisp,f,75-79,3,0
WY,2018,asian,hisp,m,80-84,2,0
WY,2018,asian,hisp,f,80-84,2,0
WY,2018,asian,hisp,m,85+,2,0
WY,2018,asian,hisp,f,85+,2,0
WY,2018,other,hisp,m,0-4,398,0
WY,2018,other,hisp,f,0-4,398,0
WY,2018,other,hisp,m,5-9,412,0
WY,2018,other,hisp,f,5-9,412,0
WY,2018,other,hisp,m,10-14,439,0
WY,2018,other,hisp,f,10-14,439,0
WY,2018,other,hisp,m,15-19,439,0
WY,2018,other,hisp,f,15-19,439,0
WY,2018,other,hisp,m,20-24,453,0
WY,2018,other,hisp,f,20-24,453,0
WY,2018,other,hisp,m,25-29,480,0
WY,2018,other,hisp,f,25-29,480,0
WY,2018,other,hisp,m,30-34,480,0
WY,2018,other,hisp,f,30-34,480,0
WY,2018,other,hisp,m,35-39,467,0
WY,2018,other,hisp,f,35-39,467,0
WY,2018,other,hisp,m,40-44,432,0
WY,2018,other,hisp,f,40-44,432,0
WY,2018,other,hisp,m,45-49,412,0
WY,2018,other,hisp,f,45-49,412,0
WY,2018,other,hisp,m,50-54,439,0
WY,2018,other,hisp,f,50-54,439,0
WY,2018,other,hisp,m,55-59,460,0
WY,2018,other,hisp,f,55-59,460,0
WY,2018,other,hisp,m,60-64,439,0
WY,2018,other,hisp,f,60-64,439,0
WY,2018,other,hisp,m,65-69,370,0
WY,2018,other,hisp,f,65-69,370,0
WY,2018,other,hisp,m,70-74,309,0
WY,2018,other,hisp,f,70-74,309,0
WY,2018,other,hisp,m,75-79,220,0
WY,2018,other,hisp,f,75-79,220,0
WY,2018,other,hisp,m,80-84,110,0
WY,2018,other,hisp,f,80-84,165,0
WY,2018,other,hisp,m,85+,115,0
WY,2018,other,hisp,f,85+,173,0
MS,2018,white,non-hisp,m,0-4,48844,0
MS,2018,white,non-hisp,f,0-4,48844,0
MS,2018,white,non-hisp,m,5-9,50528,0
MS,2018,white,non-hisp,f,5-9,50528,0
MS,2018,white,non-hisp,m,10-14,53897,0
MS,2018,white,non-hisp,f,10-14,53897,0
MS,2018,white,non-hisp,m,15-19,53897,0
MS,2018,white,non-hisp,f,15-19,53897,0
MS,2018,white,non-hisp,m,20-24,55581,0
MS,2018,white,non-hisp,f,20-24,55581,0
MS,2018,white,non-hisp,m,25-29,58950,0
MS,2018,white,non-hisp,f,25-29,58950,0
