state_code,year,race,origin,sex,age_group,mortality_rate,source
AL,2023,black,non-hisp,f,40-44,0.012522,synthetic_seed
AL,2023,black,non-hisp,f,45-49,0.01858,synthetic_seed
AL,2023,black,non-hisp,f,50-54,0.027467,synthetic_seed
AL,2023,black,non-hisp,f,55-59,0.039786,synthetic_seed
AL,2023,black,non-hisp,f,60-64,0.059174,synthetic_seed
AL,2023,black,non-hisp,f,65-69,0.087651,synthetic_seed
AL,2023,black,non-hisp,f,70-74,0.133698,synthetic_seed
AL,2023,black,non-hisp,f,75-79,0.207817,synthetic_seed
AL,2023,black,non-hisp,f,80-84,0.325761,synthetic_seed
AL,2023,black,non-hisp,f,85+,0.561752,synthetic_seed
AL,2023,black,hisp,m,0-4,0.003564,synthetic_seed
AL,2023,black,hisp,m,5-9,0.000713,synthetic_seed
AL,2023,black,hisp,m,10-14,0.000713,synthetic_seed
AL,2023,black,hisp,m,15-19,0.003564,synthetic_seed
AL,2023,black,hisp,m,20-24,0.005702,synthetic_seed
AL,2023,black,hisp,m,25-29,0.007128,synthetic_seed
AL,2023,black,hisp,m,30-34,0.009266,synthetic_seed
AL,2023,black,hisp,m,35-39,0.01283,synthetic_seed
AL,2023,black,hisp,m,40-44,0.017677,synthetic_seed
AL,2023,black,hisp,m,45-49,0.026231,synthetic_seed
AL,2023,black,hisp,m,50-54,0.038776,synthetic_seed
AL,2023,black,hisp,m,55-59,0.056169,synthetic_seed
AL,2023,black,hisp,m,60-64,0.08354,synthetic_seed
AL,2023,black,hisp,m,65-69,0.123742,synthetic_seed
AL,2023,black,hisp,m,70-74,0.188749,synthetic_seed
AL,2023,black,hisp,m,75-79,0.293388,synthetic_seed
AL,2023,black,hisp,m,80-84,0.459899,synthetic_seed
AL,2023,black,hisp,m,85+,0.793061,synthetic_seed
AL,2023,black,hisp,f,0-4,0.002525,synthetic_seed
AL,2023,black,hisp,f,5-9,0.000505,synthetic_seed
AL,2023,black,hisp,f,10-14,0.000505,synthetic_seed
AL,2023,black,hisp,f,15-19,0.002525,synthetic_seed
AL,2023,black,hisp,f,20-24,0.004039,synthetic_seed
AL,2023,black,hisp,f,25-29,0.005049,synthetic_seed
AL,2023,black,hisp,f,30-34,0.006564,synthetic_seed
AL,2023,black,hisp,f,35-39,0.009088,synthetic_seed
AL,2023,black,hisp,f,40-44,0.012522,synthetic_seed
AL,2023,black,hisp,f,45-49,0.01858,synthetic_seed
AL,2023,black,hisp,f,50-54,0.027467,synthetic_seed
AL,2023,black,hisp,f,55-59,0.039786,synthetic_seed
AL,2023,black,hisp,f,60-64,0.059174,synthetic_seed
AL,2023,black,hisp,f,65-69,0.087651,synthetic_seed
AL,2023,black,hisp,f,70-74,0.133698,synthetic_seed
AL,2023,black,hisp,f,75-79,0.207817,synthetic_seed
AL,2023,black,hisp,f,80-84,0.325761,synthetic_seed
AL,2023,black,hisp,f,85+,0.561752,synthetic_seed
AL,2023,asian,non-hisp,m,0-4,0.003078,synthetic_seed
AL,2023,asian,non-hisp,m,5-9,0.000616,synthetic_seed
AL,2023,asian,non-hisp,m,10-14,0.000616,synthetic_seed
AL,2023,asian,non-hisp,m,15-19,0.003078,synthetic_seed
AL,2023,asian,non-hisp,m,20-24,0.004925,synthetic_seed
AL,2023,asian,non-hisp,m,25-29,0.006156,synthetic_seed
AL,2023,asian,non-hisp,m,30-34,0.008003,synthetic_seed
AL,2023,asian,non-hisp,m,35-39,0.011081,synthetic_seed
AL,2023,asian,non-hisp,m,40-44,0.015267,synthetic_seed
AL,2023,asian,non-hisp,m,45-49,0.022654,synthetic_seed
AL,2023,asian,non-hisp,m,50-54,0.033489,synthetic_seed
AL,2023,asian,non-hisp,m,55-59,0.048509,synthetic_seed
AL,2023,asian,non-hisp,m,60-64,0.072148,synthetic_seed
AL,2023,asian,non-hisp,m,65-69,0.106868,synthetic_seed
AL,2023,asian,non-hisp,m,70-74,0.163011,synthetic_seed
AL,2023,asian,non-hisp,m,75-79,0.253381,synthetic_seed
AL,2023,asian,non-hisp,m,80-84,0.397185,synthetic_seed
AL,2023,asian,non-hisp,m,85+,0.684917,synthetic_seed
AL,2023,asian,non-hisp,f,0-4,0.00218,synthetic_seed
AL,2023,asian,non-hisp,f,5-9,0.000436,synthetic_seed
AL,2023,asian,non-hisp,f,10-14,0.000436,synthetic_seed
AL,2023,asian,non-hisp,f,15-19,0.00218,synthetic_seed
AL,2023,asian,non-hisp,f,20-24,0.003488,synthetic_seed
AL,2023,asian,non-hisp,f,25-29,0.00436,synthetic_seed
AL,2023,asian,non-hisp,f,30-34,0.005669,synthetic_seed
AL,2023,asian,non-hisp,f,35-39,0.007849,synthetic_seed
AL,2023,asian,non-hisp,f,40-44,0.010814,synthetic_seed
AL,2023,asian,non-hisp,f,45-49,0.016047,synthetic_seed
AL,2023,asian,non-hisp,f,50-54,0.023721,synthetic_seed
AL,2023,asian,non-hisp,f,55-59,0.034361,synthetic_seed
AL,2023,asian,non-hisp,f,60-64,0.051105,synthetic_seed
AL,2023,asian,non-hisp,f,65-69,0.075698,synthetic_seed
AL,2023,asian,non-hisp,f,70-74,0.115466,synthetic_seed
AL,2023,asian,non-hisp,f,75-79,0.179478,synthetic_seed
AL,2023,asian,non-hisp,f,80-84,0.281339,synthetic_seed
AL,2023,asian,non-hisp,f,85+,0.485149,synthetic_seed
AL,2023,asian,hisp,m,0-4,0.003078,synthetic_seed
AL,2023,asian,hisp,m,5-9,0.000616,synthetic_seed
AL,2023,asian,hisp,m,10-14,0.000616,synthetic_seed
AL,2023,asian,hisp,m,15-19,0.003078,synthetic_seed
AL,2023,asian,hisp,m,20-24,0.004925,synthetic_seed
AL,2023,asian,hisp,m,25-29,0.006156,synthetic_seed
AL,2023,asian,hisp,m,30-34,0.008003,synthetic_seed
AL,2023,asian,hisp,m,35-39,0.011081,synthetic_seed
AL,2023,asian,hisp,m,40-44,0.015267,synthetic_seed
AL,2023,asian,hisp,m,45-49,0.022654,synthetic_seed
AL,2023,asian,hisp,m,50-54,0.033489,synthetic_seed
AL,2023,asian,hisp,m,55-59,0.048509,synthetic_seed
AL,2023,asian,hisp,m,60-64,0.072148,synthetic_seed
AL,2023,asian,hisp,m,65-69,0.106868,synthetic_seed
AL,2023,asian,hisp,m,70-74,0.163011,synthetic_seed
AL,2023,asian,hisp,m,75-79,0.253381,synthetic_seed
AL,2023,asian,hisp,m,80-84,0.397185,synthetic_seed
AL,2023,asian,hisp,m,85+,0.684917,synthetic_seed
AL,2023,asian,hisp,f,0-4,0.00218,synthetic_seed
AL,2023,asian,hisp,f,5-9,0.000436,synthetic_seed
AL,2023,asian,hisp,f,10-14,0.000436,synthetic_seed
AL,2023,asian,hisp,f,15-19,0.00218,synthetic_seed
AL,2023,asian,hisp,f,20-24,0.003488,synthetic_seed
AL,2023,asian,hisp,f,25-29,0.00436,synthetic_seed
AL,2023,asian,hisp,f,30-34,0.005669,synthetic_seed
AL,2023,asian,hisp,f,35-39,0.007849,synthetic_seed
AL,2023,asian,hisp,f,40-44,0.010814,synthetic_seed
AL,2023,asian,hisp,f,45-49,0.016047,synthetic_seed
AL,2023,asian,hisp,f,50-54,0.023721,synthetic_seed
AL,2023,asian,hisp,f,55-59,0.034361,synthetic_seed
AL,2023,asian,hisp,f,60-64,0.051105,synthetic_seed
AL,2023,asian,hisp,f,65-69,0.075698,synthetic_seed
AL,2023,asian,hisp,f,70-74,0.115466,synthetic_seed
AL,2023,asian,hisp,f,75-79,0.179478,synthetic_seed
AL,2023,asian,hisp,f,80-84,0.281339,synthetic_seed
AL,2023,asian,hisp,f,85+,0.485149,synthetic_seed
AL,2023,other,non-hisp,m,0-4,0.00324,synthetic_seed
AL,2023,other,non-hisp,m,5-9,0.000648,synthetic_seed
AL,2023,other,non-hisp,m,10-14,0.000648,synthetic_seed
AL,2023,other,non-hisp,m,15-19,0.00324,synthetic_seed
AL,2023,other,non-hisp,m,20-24,0.005184,synthetic_seed
AL,2023,other,non-hisp,m,25-29,0.00648,synthetic_seed
AL,2023,other,non-hisp,m,30-34,0.008424,synthetic_seed
AL,2023,other,non-hisp,m,35-39,0.011664,synthetic_seed
AL,2023,other,non-hisp,m,40-44,0.01607,synthetic_seed
AL,2023,other,non-hisp,m,45-49,0.023846,synthetic_seed
AL,2023,other,non-hisp,m,50-54,0.035251,synthetic_seed
AL,2023,other,non-hisp,m,55-59,0.051062,synthetic_seed
AL,2023,other,non-hisp,m,60-64,0.075946,synthetic_seed
AL,2023,other,non-hisp,m,65-69,0.112493,synthetic_seed
AL,2023,other,non-hisp,m,70-74,0.17159,synthetic_seed
AL,2023,other,non-hisp,m,75-79,0.266717,synthetic_seed
AL,2023,other,non-hisp,m,80-84,0.41809,synthetic_seed
AL,2023,other,non-hisp,m,85+,0.720965,synthetic_seed
AL,2023,other,non-hisp,f,0-4,0.002295,synthetic_seed
AL,2023,other,non-hisp,f,5-9,0.000459,synthetic_seed
AL,2023,other,non-hisp,f,10-14,0.000459,synthetic_seed
AL,2023,other,non-hisp,f,15-19,0.002295,synthetic_seed
AL,2023,other,non-hisp,f,20-24,0.003672,synthetic_seed
AL,2023,other,non-hisp,f,25-29,0.00459,synthetic_seed
AL,2023,other,non-hisp,f,30-34,0.005967,synthetic_seed
AL,2023,other,non-hisp,f,35-39,0.008262,synthetic_seed
AL,2023,other,non-hisp,f,40-44,0.011383,synthetic_seed
AL,2023,other,non-hisp,f,45-49,0.016891,synthetic_seed
AL,2023,other,non-hisp,f,50-54,0.02497,synthetic_seed
AL,2023,other,non-hisp,f,55-59,0.036169,synthetic_seed
AL,2023,other,non-hisp,f,60-64,0.053795,synthetic_seed
AL,2023,other,non-hisp,f,65-69,0.079682,synthetic_seed
AL,2023,other,non-hisp,f,70-74,0.121543,synthetic_seed
AL,2023,other,non-hisp,f,75-79,0.188924,synthetic_seed
AL,2023,other,non-hisp,f,80-84,0.296147,synthetic_seed
AL,2023,other,non-hisp,f,85+,0.510683,synthetic_seed
AL,2023,other,hisp,m,0-4,0.00324,synthetic_seed
AL,2023,other,hisp,m,5-9,0.000648,synthetic_seed
AL,2023,other,hisp,m,10-14,0.000648,synthetic_seed
AL,2023,other,hisp,m,15-19,0.00324,synthetic_seed
AL,2023,other,hisp,m,20-24,0.005184,synthetic_seed
AL,2023,other,hisp,m,25-29,0.00648,synthetic_seed
AL,2023,other,hisp,m,30-34,0.008424,synthetic_seed
AL,2023,other,hisp,m,35-39,0.011664,synthetic_seed
AL,2023,other,hisp,m,40-44,0.01607,synthetic_seed
AL,2023,other,hisp,m,45-49,0.023846,synthetic_seed
AL,2023,other,hisp,m,50-54,0.035251,synthetic_seed
AL,2023,other,hisp,m,55-59,0.051062,synthetic_seed
AL,2023,other,hisp,m,60-64,0.075946,synthetic_seed
AL,2023,other,hisp,m,65-69,0.112493,synthetic_seed
AL,2023,other,hisp,m,70-74,0.17159,synthetic_seed
AL,2023,other,hisp,m,75-79,0.266717,synthetic_seed
AL,2023,other,hisp,m,80-84,0.41809,synthetic_seed
AL,2023,other,hisp,m,85+,0.720965,synthetic_seed
AL,2023,other,hisp,f,0-4,0.002295,synthetic_seed
AL,2023,other,hisp,f,5-9,0.000459,synthetic_seed
AL,2023,other,hisp,f,10-14,0.000459,synthetic_seed
AL,2023,other,hisp,f,15-19,0.002295,synthetic_seed
AL,2023,other,hisp,f,20-24,0.003672,synthetic_seed
AL,2023,other,hisp,f,25-29,0.00459,synthetic_seed
AL,2023,other,hisp,f,30-34,0.005967,synthetic_seed
AL,2023,other,hisp,f,35-39,0.008262,synthetic_seed
AL,2023,other,hisp,f,40-44,0.011383,synthetic_seed
AL,2023,other,hisp,f,45-49,0.016891,synthetic_seed
AL,2023,other,hisp,f,50-54,0.02497,synthetic_seed
AL,2023,other,hisp,f,55-59,0.036169,synthetic_seed
AL,2023,other,hisp,f,60-64,0.053795,synthetic_seed
AL,2023,other,hisp,f,65-69,0.079682,synthetic_seed
AL,2023,other,hisp,f,70-74,0.121543,synthetic_seed
AL,2023,other,hisp,f,75-79,0.188924,synthetic_seed
AL,2023,other,hisp,f,80-84,0.296147,synthetic_seed
AL,2023,other,hisp,f,85+,0.510683,synthetic_seed
AK,2023,white,non-hisp,m,0-4,0.00291,synthetic_seed
AK,2023,white,non-hisp,m,5-9,0.000582,synthetic_seed
AK,2023,white,non-hisp,m,10-14,0.000582,synthetic_seed
AK,2023,white,non-hisp,m,15-19,0.00291,synthetic_seed
AK,2023,white,non-hisp,m,20-24,0.004656,synthetic_seed
AK,2023,white,non-hisp,m,25-29,0.00582,synthetic_seed
AK,2023,white,non-hisp,m,30-34,0.007566,synthetic_seed
AK,2023,white,non-hisp,m,35-39,0.010476,synthetic_seed
AK,2023,white,non-hisp,m,40-44,0.014434,synthetic_seed
AK,2023,white,non-hisp,m,45-49,0.021418,synthetic_seed
AK,2023,white,non-hisp,m,50-54,0.031661,synthetic_seed
AK,2023,white,non-hisp,m,55-59,0.045862,synthetic_seed
AK,2023,white,non-hisp,m,60-64,0.06821,synthetic_seed
AK,2023,white,non-hisp,m,65-69,0.101035,synthetic_seed
AK,2023,white,non-hisp,m,70-74,0.154114,synthetic_seed
AK,2023,white,non-hisp,m,75-79,0.239551,synthetic_seed
AK,2023,white,non-hisp,m,80-84,0.375506,synthetic_seed
AK,2023,white,non-hisp,m,85+,0.647533,synthetic_seed
AK,2023,white,non-hisp,f,0-4,0.002061,synthetic_seed
AK,2023,white,non-hisp,f,5-9,0.000412,synthetic_seed
AK,2023,white,non-hisp,f,10-14,0.000412,synthetic_seed
AK,2023,white,non-hisp,f,15-19,0.002061,synthetic_seed
AK,2023,white,non-hisp,f,20-24,0.003298,synthetic_seed
AK,2023,white,non-hisp,f,25-29,0.004123,synthetic_seed
AK,2023,white,non-hisp,f,30-34,0.005359,synthetic_seed
AK,2023,white,non-hisp,f,35-39,0.007421,synthetic_seed
AK,2023,white,non-hisp,f,40-44,0.010224,synthetic_seed
AK,2023,white,non-hisp,f,45-49,0.015171,synthetic_seed
AK,2023,white,non-hisp,f,50-54,0.022426,synthetic_seed
AK,2023,white,non-hisp,f,55-59,0.032485,synthetic_seed
AK,2023,white,non-hisp,f,60-64,0.048316,synthetic_seed
AK,2023,white,non-hisp,f,65-69,0.071567,synthetic_seed
AK,2023,white,non-hisp,f,70-74,0.109164,synthetic_seed
AK,2023,white,non-hisp,f,75-79,0.169682,synthetic_seed
AK,2023,white,non-hisp,f,80-84,0.265984,synthetic_seed
AK,2023,white,non-hisp,f,85+,0.458669,synthetic_seed
AK,2023,white,hisp,m,0-4,0.00291,synthetic_seed
AK,2023,white,hisp,m,5-9,0.000582,synthetic_seed
AK,2023,white,hisp,m,10-14,0.000582,synthetic_seed
AK,2023,white,hisp,m,15-19,0.00291,synthetic_seed
AK,2023,white,hisp,m,20-24,0.004656,synthetic_seed
AK,2023,white,hisp,m,25-29,0.00582,synthetic_seed
AK,2023,white,hisp,m,30-34,0.007566,synthetic_seed
AK,2023,white,hisp,m,35-39,0.010476,synthetic_seed
AK,2023,white,hisp,m,40-44,0.014434,synthetic_seed
AK,2023,white,hisp,m,45-49,0.021418,synthetic_seed
AK,2023,white,hisp,m,50-54,0.031661,synthetic_seed
AK,2023,white,hisp,m,55-59,0.045862,synthetic_seed
AK,2023,white,hisp,m,60-64,0.06821,synthetic_seed
AK,2023,white,hisp,m,65-69,0.101035,synthetic_seed
AK,2023,white,hisp,m,70-74,0.154114,synthetic_seed
AK,2023,white,hisp,m,75-79,0.239551,synthetic_seed
AK,2023,white,hisp,m,80-84,0.375506,synthetic_seed
AK,2023,white,hisp,m,85+,0.647533,synthetic_seed
AK,2023,white,hisp,f,0-4,0.002061,synthetic_seed
AK,2023,white,hisp,f,5-9,0.000412,synthetic_seed
AK,2023,white,hisp,f,10-14,0.000412,synthetic_seed
AK,2023,white,hisp,f,15-19,0.002061,synthetic_seed
AK,2023,white,hisp,f,20-24,0.003298,synthetic_seed
AK,2023,white,hisp,f,25-29,0.004123,synthetic_seed
AK,2023,white,hisp,f,30-34,0.005359,synthetic_seed
AK,2023,white,hisp,f,35-39,0.007421,synthetic_seed
AK,2023,white,hisp,f,40-44,0.010224,synthetic_seed
AK,2023,white,hisp,f,45-49,0.015171,synthetic_seed
AK,2023,white,hisp,f,50-54,0.022426,synthetic_seed
AK,2023,white,hisp,f,55-59,0.032485,synthetic_seed
AK,2023,white,hisp,f,60-64,0.048316,synthetic_seed
AK,2023,white,hisp,f,65-69,0.071567,synthetic_seed
AK,2023,white,hisp,f,70-74,0.109164,synthetic_seed
AK,2023,white,hisp,f,75-79,0.169682,synthetic_seed
AK,2023,white,hisp,f,80-84,0.265984,synthetic_seed
AK,2023,white,hisp,f,85+,0.458669,synthetic_seed
AK,2023,black,non-hisp,m,0-4,0.003201,synthetic_seed
AK,2023,black,non-hisp,m,5-9,0.00064,synthetic_seed
AK,2023,black,non-hisp,m,10-14,0.00064,synthetic_seed
AK,2023,black,non-hisp,m,15-19,0.003201,synthetic_seed
AK,2023,black,non-hisp,m,20-24,0.005122,synthetic_seed
AK,2023,black,non-hisp,m,25-29,0.006402,synthetic_seed
AK,2023,black,non-hisp,m,30-34,0.008323,synthetic_seed
AK,2023,black,non-hisp,m,35-39,0.011524,synthetic_seed
AK,2023,black,non-hisp,m,40-44,0.015877,synthetic_seed
AK,2023,black,non-hisp,m,45-49,0.023559,synthetic_seed
AK,2023,black,non-hisp,m,50-54,0.034827,synthetic_seed
AK,2023,black,non-hisp,m,55-59,0.050448,synthetic_seed
AK,2023,black,non-hisp,m,60-64,0.075031,synthetic_seed
AK,2023,black,non-hisp,m,65-69,0.111139,synthetic_seed
AK,2023,black,non-hisp,m,70-74,0.169525,synthetic_seed
AK,2023,black,non-hisp,m,75-79,0.263506,synthetic_seed
AK,2023,black,non-hisp,m,80-84,0.413057,synthetic_seed
AK,2023,black,non-hisp,m,85+,0.712287,synthetic_seed
AK,2023,black,non-hisp,f,0-4,0.002267,synthetic_seed
AK,2023,black,non-hisp,f,5-9,0.000453,synthetic_seed
AK,2023,black,non-hisp,f,10-14,0.000453,synthetic_seed
AK,2023,black,non-hisp,f,15-19,0.002267,synthetic_seed
AK,2023,black,non-hisp,f,20-24,0.003628,synthetic_seed
AK,2023,black,non-hisp,f,25-29,0.004535,synthetic_seed
AK,2023,black,non-hisp,f,30-34,0.005895,synthetic_seed
AK,2023,black,non-hisp,f,35-39,0.008163,synthetic_seed
AK,2023,black,non-hisp,f,40-44,0.011246,synthetic_seed
AK,2023,black,non-hisp,f,45-49,0.016688,synthetic_seed
AK,2023,black,non-hisp,f,50-54,0.024669,synthetic_seed
AK,2023,black,non-hisp,f,55-59,0.035734,synthetic_seed
AK,2023,black,non-hisp,f,60-64,0.053147,synthetic_seed
AK,2023,black,non-hisp,f,65-69,0.078723,synthetic_seed
AK,2023,black,non-hisp,f,70-74,0.12008,synthetic_seed
AK,2023,black,non-hisp,f,75-79,0.18665,synthetic_seed
AK,2023,black,non-hisp,f,80-84,0.292582,synthetic_seed
AK,2023,black,non-hisp,f,85+,0.504536,synthetic_seed
AK,2023,black,hisp,m,0-4,0.003201,synthetic_seed
AK,2023,black,hisp,m,5-9,0.00064,synthetic_seed
AK,2023,black,hisp,m,10-14,0.00064,synthetic_seed
AK,2023,black,hisp,m,15-19,0.003201,synthetic_seed
AK,2023,black,hisp,m,20-24,0.005122,synthetic_seed
AK,2023,black,hisp,m,25-29,0.006402,synthetic_seed
AK,2023,black,hisp,m,30-34,0.008323,synthetic_seed
AK,2023,black,hisp,m,35-39,0.011524,synthetic_seed
AK,2023,black,hisp,m,40-44,0.015877,synthetic_seed
AK,2023,black,hisp,m,45-49,0.023559,synthetic_seed
AK,2023,black,hisp,m,50-54,0.034827,synthetic_seed
AK,2023,black,hisp,m,55-59,0.050448,synthetic_seed
AK,2023,black,hisp,m,60-64,0.075031,synthetic_seed
AK,2023,black,hisp,m,65-69,0.111139,synthetic_seed
AK,2023,black,hisp,m,70-74,0.169525,synthetic_seed
AK,2023,black,hisp,m,75-79,0.263506,synthetic_seed
AK,2023,black,hisp,m,80-84,0.413057,synthetic_seed
AK,2023,black,hisp,m,85+,0.712287,synthetic_seed
AK,2023,black,hisp,f,0-4,0.002267,synthetic_seed
AK,2023,black,hisp,f,5-9,0.000453,synthetic_seed
AK,2023,black,hisp,f,10-14,0.000453,synthetic_seed
AK,2023,black,hisp,f,15-19,0.002267,synthetic_seed
AK,2023,black,hisp,f,20-24,0.003628,synthetic_seed
AK,2023,black,hisp,f,25-29,0.004535,synthetic_seed
AK,2023,black,hisp,f,30-34,0.005895,synthetic_seed
AK,2023,black,hisp,f,35-39,0.008163,synthetic_seed
AK,2023,black,hisp,f,40-44,0.011246,synthetic_seed
AK,2023,black,hisp,f,45-49,0.016688,synthetic_seed
AK,2023,black,hisp,f,50-54,0.024669,synthetic_seed
AK,2023,black,hisp,f,55-59,0.035734,synthetic_seed
AK,2023,black,hisp,f,60-64,0.053147,synthetic_seed
AK,2023,black,hisp,f,65-69,0.078723,synthetic_seed
AK,2023,black,hisp,f,70-74,0.12008,synthetic_seed
AK,2023,black,hisp,f,75-79,0.18665,synthetic_seed
AK,2023,black,hisp,f,80-84,0.292582,synthetic_seed
AK,2023,black,hisp,f,85+,0.504536,synthetic_seed
AK,2023,asian,non-hisp,m,0-4,0.002764,synthetic_seed
AK,2023,asian,non-hisp,m,5-9,0.000553,synthetic_seed
