state_code,year,race,origin,sex,age_group,net_migration,migration_rate,source
AL,2023,other,non-hisp,m,25-29,,0.00785,synthetic_seed
AL,2023,other,non-hisp,m,30-34,,0.00695,synthetic_seed
AL,2023,other,non-hisp,m,35-39,,0.00875,synthetic_seed
AL,2023,other,non-hisp,m,40-44,,0.00879,synthetic_seed
AL,2023,other,non-hisp,m,45-49,,0.00347,synthetic_seed
AL,2023,other,non-hisp,m,50-54,,0.00384,synthetic_seed
AL,2023,other,non-hisp,m,55-59,,0.00154,synthetic_seed
AL,2023,other,non-hisp,m,60-64,,0.00179,synthetic_seed
AL,2023,other,non-hisp,m,65-69,,0.00164,synthetic_seed
AL,2023,other,non-hisp,m,70-74,,0.00171,synthetic_seed
AL,2023,other,non-hisp,m,75-79,,0.00184,synthetic_seed
AL,2023,other,non-hisp,m,80-84,,0.00108,synthetic_seed
AL,2023,other,non-hisp,m,85+,,0.00158,synthetic_seed
AL,2023,other,non-hisp,f,0-4,,0.00138,synthetic_seed
AL,2023,other,non-hisp,f,5-9,,0.00162,synthetic_seed
AL,2023,other,non-hisp,f,10-14,,0.0015,synthetic_seed
AL,2023,other,non-hisp,f,15-19,,0.00357,synthetic_seed
AL,2023,other,non-hisp,f,20-24,,0.00852,synthetic_seed
AL,2023,other,non-hisp,f,25-29,,0.00953,synthetic_seed
AL,2023,other,non-hisp,f,30-34,,0.00965,synthetic_seed
AL,2023,other,non-hisp,f,35-39,,0.00941,synthetic_seed
AL,2023,other,non-hisp,f,40-44,,0.01002,synthetic_seed
AL,2023,other,non-hisp,f,45-49,,0.0031,synthetic_seed
AL,2023,other,non-hisp,f,50-54,,0.00427,synthetic_seed
AL,2023,other,non-hisp,f,55-59,,0.00181,synthetic_seed
AL,2023,other,non-hisp,f,60-64,,0.00155,synthetic_seed
AL,2023,other,non-hisp,f,65-69,,0.00146,synthetic_seed
AL,2023,other,non-hisp,f,70-74,,0.00158,synthetic_seed
AL,2023,other,non-hisp,f,75-79,,0.00151,synthetic_seed
AL,2023,other,non-hisp,f,80-84,,0.002,synthetic_seed
AL,2023,other,non-hisp,f,85+,,0.00131,synthetic_seed
AL,2023,other,hisp,m,0-4,,0.00142,synthetic_seed
AL,2023,other,hisp,m,5-9,,0.00158,synthetic_seed
AL,2023,other,hisp,m,10-14,,0.00187,synthetic_seed
AL,2023,other,hisp,m,15-19,,0.00366,synthetic_seed
AL,2023,other,hisp,m,20-24,,0.00743,synthetic_seed
AL,2023,other,hisp,m,25-29,,0.00923,synthetic_seed
AL,2023,other,hisp,m,30-34,,0.0072,synthetic_seed
AL,2023,other,hisp,m,35-39,,0.00687,synthetic_seed
AL,2023,other,hisp,m,40-44,,0.00794,synthetic_seed
AL,2023,other,hisp,m,45-49,,0.00538,synthetic_seed
AL,2023,other,hisp,m,50-54,,0.00356,synthetic_seed
AL,2023,other,hisp,m,55-59,,0.00112,synthetic_seed
AL,2023,other,hisp,m,60-64,,0.00151,synthetic_seed
AL,2023,other,hisp,m,65-69,,0.00121,synthetic_seed
AL,2023,other,hisp,m,70-74,,0.00164,synthetic_seed
AL,2023,other,hisp,m,75-79,,0.00185,synthetic_seed
AL,2023,other,hisp,m,80-84,,0.00176,synthetic_seed
AL,2023,other,hisp,m,85+,,0.00163,synthetic_seed
AL,2023,other,hisp,f,0-4,,0.00173,synthetic_seed
AL,2023,other,hisp,f,5-9,,0.00192,synthetic_seed
AL,2023,other,hisp,f,10-14,,0.00174,synthetic_seed
AL,2023,other,hisp,f,15-19,,0.00459,synthetic_seed
AL,2023,other,hisp,f,20-24,,0.00744,synthetic_seed
AL,2023,other,hisp,f,25-29,,0.00987,synthetic_seed
AL,2023,other,hisp,f,30-34,,0.00896,synthetic_seed
AL,2023,other,hisp,f,35-39,,0.008,synthetic_seed
AL,2023,other,hisp,f,40-44,,0.00868,synthetic_seed
AL,2023,other,hisp,f,45-49,,0.0036,synthetic_seed
AL,2023,other,hisp,f,50-54,,0.00398,synthetic_seed
AL,2023,other,hisp,f,55-59,,0.00194,synthetic_seed
AL,2023,other,hisp,f,60-64,,0.00166,synthetic_seed
AL,2023,other,hisp,f,65-69,,0.00133,synthetic_seed
AL,2023,other,hisp,f,70-74,,0.00129,synthetic_seed
AL,2023,other,hisp,f,75-79,,0.00162,synthetic_seed
AL,2023,other,hisp,f,80-84,,0.00212,synthetic_seed
AL,2023,other,hisp,f,85+,,0.0015,synthetic_seed
AK,2023,white,non-hisp,m,0-4,,0.00083,synthetic_seed
AK,2023,white,non-hisp,m,5-9,,0.0009,synthetic_seed
AK,2023,white,non-hisp,m,10-14,,0.0008,synthetic_seed
AK,2023,white,non-hisp,m,15-19,,0.00268,synthetic_seed
AK,2023,white,non-hisp,m,20-24,,0.00342,synthetic_seed
AK,2023,white,non-hisp,m,25-29,,0.00421,synthetic_seed
AK,2023,white,non-hisp,m,30-34,,0.00428,synthetic_seed
AK,2023,white,non-hisp,m,35-39,,0.0052,synthetic_seed
AK,2023,white,non-hisp,m,40-44,,0.00402,synthetic_seed
AK,2023,white,non-hisp,m,45-49,,0.00194,synthetic_seed
AK,2023,white,non-hisp,m,50-54,,0.00193,synthetic_seed
AK,2023,white,non-hisp,m,55-59,,0.0008,synthetic_seed
AK,2023,white,non-hisp,m,60-64,,0.00075,synthetic_seed
AK,2023,white,non-hisp,m,65-69,,0.00081,synthetic_seed
AK,2023,white,non-hisp,m,70-74,,0.00088,synthetic_seed
AK,2023,white,non-hisp,m,75-79,,0.00081,synthetic_seed
AK,2023,white,non-hisp,m,80-84,,0.00074,synthetic_seed
AK,2023,white,non-hisp,m,85+,,0.00076,synthetic_seed
AK,2023,white,non-hisp,f,0-4,,0.00072,synthetic_seed
AK,2023,white,non-hisp,f,5-9,,0.00066,synthetic_seed
AK,2023,white,non-hisp,f,10-14,,0.00069,synthetic_seed
AK,2023,white,non-hisp,f,15-19,,0.00214,synthetic_seed
AK,2023,white,non-hisp,f,20-24,,0.00455,synthetic_seed
AK,2023,white,non-hisp,f,25-29,,0.00405,synthetic_seed
AK,2023,white,non-hisp,f,30-34,,0.00458,synthetic_seed
AK,2023,white,non-hisp,f,35-39,,0.00435,synthetic_seed
AK,2023,white,non-hisp,f,40-44,,0.00482,synthetic_seed
AK,2023,white,non-hisp,f,45-49,,0.00159,synthetic_seed
AK,2023,white,non-hisp,f,50-54,,0.00176,synthetic_seed
AK,2023,white,non-hisp,f,55-59,,0.00093,synthetic_seed
AK,2023,white,non-hisp,f,60-64,,0.00055,synthetic_seed
AK,2023,white,non-hisp,f,65-69,,0.00088,synthetic_seed
AK,2023,white,non-hisp,f,70-74,,0.00083,synthetic_seed
AK,2023,white,non-hisp,f,75-79,,0.00103,synthetic_seed
AK,2023,white,non-hisp,f,80-84,,0.00088,synthetic_seed
AK,2023,white,non-hisp,f,85+,,0.00084,synthetic_seed
AK,2023,white,hisp,m,0-4,,0.00093,synthetic_seed
AK,2023,white,hisp,m,5-9,,0.00057,synthetic_seed
AK,2023,white,hisp,m,10-14,,0.00081,synthetic_seed
AK,2023,white,hisp,m,15-19,,0.00237,synthetic_seed
AK,2023,white,hisp,m,20-24,,0.00301,synthetic_seed
AK,2023,white,hisp,m,25-29,,0.00421,synthetic_seed
AK,2023,white,hisp,m,30-34,,0.00352,synthetic_seed
AK,2023,white,hisp,m,35-39,,0.00439,synthetic_seed
AK,2023,white,hisp,m,40-44,,0.00372,synthetic_seed
AK,2023,white,hisp,m,45-49,,0.00176,synthetic_seed
AK,2023,white,hisp,m,50-54,,0.00281,synthetic_seed
AK,2023,white,hisp,m,55-59,,0.00101,synthetic_seed
AK,2023,white,hisp,m,60-64,,0.00068,synthetic_seed
AK,2023,white,hisp,m,65-69,,0.00072,synthetic_seed
AK,2023,white,hisp,m,70-74,,0.00088,synthetic_seed
AK,2023,white,hisp,m,75-79,,0.00092,synthetic_seed
AK,2023,white,hisp,m,80-84,,0.00074,synthetic_seed
AK,2023,white,hisp,m,85+,,0.00064,synthetic_seed
AK,2023,white,hisp,f,0-4,,0.00077,synthetic_seed
AK,2023,white,hisp,f,5-9,,0.00112,synthetic_seed
AK,2023,white,hisp,f,10-14,,0.00049,synthetic_seed
AK,2023,white,hisp,f,15-19,,0.00179,synthetic_seed
AK,2023,white,hisp,f,20-24,,0.0052,synthetic_seed
AK,2023,white,hisp,f,25-29,,0.0041,synthetic_seed
AK,2023,white,hisp,f,30-34,,0.00408,synthetic_seed
AK,2023,white,hisp,f,35-39,,0.00397,synthetic_seed
AK,2023,white,hisp,f,40-44,,0.00345,synthetic_seed
AK,2023,white,hisp,f,45-49,,0.00186,synthetic_seed
AK,2023,white,hisp,f,50-54,,0.00156,synthetic_seed
AK,2023,white,hisp,f,55-59,,0.00086,synthetic_seed
AK,2023,white,hisp,f,60-64,,0.00091,synthetic_seed
AK,2023,white,hisp,f,65-69,,0.00096,synthetic_seed
AK,2023,white,hisp,f,70-74,,0.00063,synthetic_seed
AK,2023,white,hisp,f,75-79,,0.00071,synthetic_seed
AK,2023,white,hisp,f,80-84,,0.00075,synthetic_seed
AK,2023,white,hisp,f,85+,,0.0006,synthetic_seed
AK,2023,black,non-hisp,m,0-4,,0.00063,synthetic_seed
AK,2023,black,non-hisp,m,5-9,,0.00086,synthetic_seed
AK,2023,black,non-hisp,m,10-14,,0.00071,synthetic_seed
AK,2023,black,non-hisp,m,15-19,,0.00233,synthetic_seed
AK,2023,black,non-hisp,m,20-24,,0.00463,synthetic_seed
AK,2023,black,non-hisp,m,25-29,,0.00456,synthetic_seed
AK,2023,black,non-hisp,m,30-34,,0.00406,synthetic_seed
AK,2023,black,non-hisp,m,35-39,,0.0052,synthetic_seed
AK,2023,black,non-hisp,m,40-44,,0.00419,synthetic_seed
AK,2023,black,non-hisp,m,45-49,,0.00219,synthetic_seed
AK,2023,black,non-hisp,m,50-54,,0.00196,synthetic_seed
AK,2023,black,non-hisp,m,55-59,,0.00103,synthetic_seed
AK,2023,black,non-hisp,m,60-64,,0.00087,synthetic_seed
AK,2023,black,non-hisp,m,65-69,,0.00094,synthetic_seed
AK,2023,black,non-hisp,m,70-74,,0.00098,synthetic_seed
AK,2023,black,non-hisp,m,75-79,,0.00071,synthetic_seed
AK,2023,black,non-hisp,m,80-84,,0.00085,synthetic_seed
AK,2023,black,non-hisp,m,85+,,0.00074,synthetic_seed
AK,2023,black,non-hisp,f,0-4,,0.00069,synthetic_seed
AK,2023,black,non-hisp,f,5-9,,0.00067,synthetic_seed
AK,2023,black,non-hisp,f,10-14,,0.00078,synthetic_seed
AK,2023,black,non-hisp,f,15-19,,0.00198,synthetic_seed
AK,2023,black,non-hisp,f,20-24,,0.00399,synthetic_seed
AK,2023,black,non-hisp,f,25-29,,0.00282,synthetic_seed
AK,2023,black,non-hisp,f,30-34,,0.00411,synthetic_seed
AK,2023,black,non-hisp,f,35-39,,0.00419,synthetic_seed
AK,2023,black,non-hisp,f,40-44,,0.00326,synthetic_seed
AK,2023,black,non-hisp,f,45-49,,0.00193,synthetic_seed
AK,2023,black,non-hisp,f,50-54,,0.00175,synthetic_seed
AK,2023,black,non-hisp,f,55-59,,0.00082,synthetic_seed
AK,2023,black,non-hisp,f,60-64,,0.00078,synthetic_seed
AK,2023,black,non-hisp,f,65-69,,0.00074,synthetic_seed
AK,2023,black,non-hisp,f,70-74,,0.00081,synthetic_seed
AK,2023,black,non-hisp,f,75-79,,0.00088,synthetic_seed
AK,2023,black,non-hisp,f,80-84,,0.0009,synthetic_seed
AK,2023,black,non-hisp,f,85+,,0.00068,synthetic_seed
AK,2023,black,hisp,m,0-4,,0.00109,synthetic_seed
AK,2023,black,hisp,m,5-9,,0.00084,synthetic_seed
AK,2023,black,hisp,m,10-14,,0.00094,synthetic_seed
AK,2023,black,hisp,m,15-19,,0.00238,synthetic_seed
AK,2023,black,hisp,m,20-24,,0.00312,synthetic_seed
AK,2023,black,hisp,m,25-29,,0.00344,synthetic_seed
AK,2023,black,hisp,m,30-34,,0.00448,synthetic_seed
AK,2023,black,hisp,m,35-39,,0.00257,synthetic_seed
AK,2023,black,hisp,m,40-44,,0.00427,synthetic_seed
AK,2023,black,hisp,m,45-49,,0.00171,synthetic_seed
AK,2023,black,hisp,m,50-54,,0.00178,synthetic_seed
AK,2023,black,hisp,m,55-59,,0.0007,synthetic_seed
AK,2023,black,hisp,m,60-64,,0.00058,synthetic_seed
AK,2023,black,hisp,m,65-69,,0.00081,synthetic_seed
AK,2023,black,hisp,m,70-74,,0.00066,synthetic_seed
AK,2023,black,hisp,m,75-79,,0.00085,synthetic_seed
AK,2023,black,hisp,m,80-84,,0.00096,synthetic_seed
AK,2023,black,hisp,m,85+,,0.00074,synthetic_seed
AK,2023,black,hisp,f,0-4,,0.00085,synthetic_seed
AK,2023,black,hisp,f,5-9,,0.0008,synthetic_seed
AK,2023,black,hisp,f,10-14,,0.00077,synthetic_seed
AK,2023,black,hisp,f,15-19,,0.00209,synthetic_seed
AK,2023,black,hisp,f,20-24,,0.00395,synthetic_seed
AK,2023,black,hisp,f,25-29,,0.00405,synthetic_seed
